Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
172,24,22.109944,20.768991,0.969770,1.000000
173,24,22.109944,20.768991,0.969945,1.000000
174,23,23.671554,22.193369,0.970117,1.000000
175,22,25.120858,23.589222,0.970288,1.000000
176,21,26.532153,24.999531,0.970457,1.000000
177,20,27.949243,26.332859,0.970624,1.000000
178,20,27.949243,26.332859,0.970789,1.000000
179,20,27.949243,26.332859,0.970952,1.000000
180,20,27.949243,26.332859,0.971113,1.000000
181,19,29.347309,27.662352,0.971273,1.000000
182,19,29.347309,27.662352,0.971431,1.000000
183,20,28.849897,27.193498,0.971587,1.000000
184,20,28.849897,27.193498,0.971741,1.000000
185,20,28.849897,27.193498,0.971894,1.000000
186,21,28.369065,26.740273,0.972045,1.000000
187,21,29.266967,27.660883,0.972195,1.000000
188,21,30.147078,28.563371,0.972343,1.000000
189,20,31.521142,29.876340,0.972489,1.000000
190,19,32.851853,31.186885,0.972634,1.000000
191,19,32.851853,31.186885,0.972777,1.000000
192,19,32.851853,31.186885,0.972919,1.000000
193,18,34.208030,32.449839,0.973059,1.000000
194,18,34.208030,32.449839,0.973198,1.000000
195,18,34.208030,32.449839,0.973335,1.000000
196,18,34.208030,32.449839,0.973472,1.000000
197,19,33.665045,31.934762,0.973606,1.000000
198,19,33.665045,31.934762,0.973740,1.000000
199,21,32.629198,30.952154,0.973871,1.000000
200,21,32.629198,30.952154,0.974002,1.000000
201,22,32.134816,30.483182,0.974131,1.000000
202,22,32.134816,30.483182,0.974260,1.000000
203,22,32.134816,30.483182,0.974386,1.000000
204,22,32.134816,30.483182,0.974512,1.000000
205,22,32.134816,30.483182,0.974636,1.000000
206,23,31.655192,30.028209,0.974759,1.000000
207,23,31.655192,30.028209,0.974881,1.000000
208,23,31.655192,30.028209,0.975002,1.000000
209,22,33.066947,31.393043,0.975122,1.000000
210,22,33.066947,31.393043,0.975240,1.000000
211,21,34.451773,32.700930,0.975357,1.000000
212,21,34.451773,32.700930,0.975474,1.000000
213,20,35.788383,34.028602,0.975589,1.000000
214,21,35.262083,33.528182,0.975703,1.000000
215,21,35.262083,33.528182,0.975816,1.000000
216,22,34.751038,33.042266,0.975928,1.000000
217,22,34.751038,33.042266,0.976039,1.000000
218,23,34.254595,32.570234,0.976149,1.000000
219,23,34.254595,32.570234,0.976258,1.000000
220,24,33.772136,32.111498,0.976366,1.000000
221,24,33.772136,32.111498,0.976472,1.000000
222,24,33.772136,32.111498,0.976578,1.000000
223,25,33.303078,31.665505,0.976684,1.000000
224,26,32.846872,31.231731,0.976788,1.000000
225,27,32.402995,30.809681,0.976891,1.000000
226,28,31.970955,30.398885,0.976993,1.000000
227,27,33.344896,31.762609,0.977094,1.000000
228,27,33.344896,31.762609,0.977195,1.000000
229,27,33.344896,31.762609,0.977294,1.000000
230,28,32.906147,31.344680,0.977393,1.000000
231,27,34.310074,32.716673,0.977491,1.000000
232,27,34.310074,32.716673,0.977588,1.000000
233,27,34.310074,32.716673,0.977684,1.000000
234,27,34.310074,32.716673,0.977780,1.000000
235,27,34.310074,32.716673,0.977874,1.000000
236,27,34.310074,32.716673,0.977968,1.000000
237,27,34.310074,32.716673,0.978061,1.000000
238,27,34.310074,32.716673,0.978153,1.000000
239,27,34.310074,32.716673,0.978244,1.000000
240,28,33.864488,32.291781,0.978335,1.000000
241,28,34.890767,33.309696,0.978425,1.000000
242,29,34.449111,32.888054,0.978514,1.000000
243,28,35.894451,34.325381,0.978603,1.000000
244,28,35.894451,34.325381,0.978690,1.000000
245,29,35.445770,33.896314,0.978777,1.000000
246,29,35.445770,33.896314,0.978864,1.000000
247,29,35.445770,33.896314,0.978949,1.000000
248,29,35.445770,33.896314,0.979034,1.000000
249,28,36.939884,35.175119,0.979118,1.000000
250,28,36.939884,35.175119,0.979202,1.000000
251,28,36.939884,35.175119,0.979285,1.000000
252,28,36.939884,35.175119,0.979367,1.000000
253,28,36.939884,35.175119,0.979448,1.000000
254,28,36.939884,35.175119,0.979529,1.000000
255,29,36.483836,34.740859,0.979609,1.000000
256,30,36.038912,34.317190,0.979689,1.000000
257,30,36.038912,34.317190,0.979768,1.000000
258,30,36.038912,34.317190,0.979847,1.000000
259,30,36.038912,34.317190,0.979924,1.000000
260,30,36.038912,34.317190,0.980002,1.000000
261,30,36.978368,35.243849,0.980078,1.000000
262,30,36.978368,35.243849,0.980154,1.000000
263,29,38.344771,36.578763,0.980230,1.000000
264,29,38.344771,36.578763,0.980305,1.000000
265,30,37.888286,36.143302,0.980379,1.000000
266,31,37.442542,35.718087,0.980453,1.000000
267,31,37.442542,35.718087,0.980526,1.000000
268,30,38.802181,37.057156,0.980599,1.000000
