,L,Mean n-L
477,477,91.68841245481897
478,478,91.69013266830903
479,479,91.69185295127319
480,480,91.69357835218094
481,481,91.69529877420788
482,482,91.69701926572155
483,483,91.69873477795504
484,484,91.70045540835285
485,485,91.70217610825003
486,486,91.70389687765076
487,487,91.70561266738028
488,488,91.70732852641784
489,489,91.70903940538466
490,490,91.71075035346395
491,491,91.71246137065988
492,492,91.71416740728772
493,493,91.71587351283657
494,494,91.71757968731063
495,495,91.71929603070397
496,496,91.72100739334195
497,497,91.72271377492274
498,498,91.72442022544544
499,499,91.72612674491424
500,500,91.72782828282828
501,501,91.7295349400998
502,502,91.73123661562083
503,503,91.73292825827828
504,504,91.73462502020365
505,505,91.73632690170724
506,506,91.73803390309936
507,507,91.739740973471
508,508,91.74144811282632
509,509,91.74315026974601
510,510,91.74484744392807
511,511,91.74654973832568
512,512,91.74824704978985
513,513,91.74993432618668
514,514,91.75162672270946
515,515,91.75331413559664
516,516,91.75499656454612
517,517,91.7566740092557
518,518,91.75834646942323
519,519,91.76001899719084
520,520,91.76169159256266
521,521,91.76336425554275
522,522,91.76504709163669
523,523,91.76671989004993
524,524,91.76839275608376
525,525,91.7700606366852
526,526,91.77172858471116
527,527,91.77340165342711
528,528,91.77506973641655
529,529,91.77674294030847
530,530,91.77841115827775
531,531,91.780079443692
532,532,91.78174779655535
533,533,91.78341621687186
534,534,91.78508470464561
535,535,91.78675325988073
536,536,91.78842188258128
537,537,91.79008551846835
538,538,91.79174922162468
539,539,91.79341299205434
540,540,91.79507177517186
541,541,91.79673568005823
542,542,91.79839459743621
543,543,91.80005358189943
544,544,91.80170757845357
545,545,91.80336164189667
546,546,91.80501071702997
547,547,91.80666996946596
548,548,91.80832928900752
549,549,91.80998867565873
550,550,91.81164812942366
551,551,91.81331270602034
552,552,91.81497734994338
553,553,91.81664206119683
554,554,91.81830683978481
555,555,91.8199716857114
556,556,91.82163659898066
557,557,91.8233015795967
558,558,91.82496157113385
559,559,91.82662668635344
560,560,91.82829186893204
561,561,91.82995711887376
562,562,91.83162749302156
563,563,91.83329287780407
